text,label
 go jurong point crazy available bugis n great world la e buffet cine got amore wat,0
 ok lar joking wif u oni,0
 free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate c apply,1
 u dun say early hor u c already say,0
 nah think goes usf lives around though,0
 freemsg hey darling week word back like fun still tb ok xxx std chgs send rcv,1
 even brother like speak treat like aids patent,0
 per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,0
 winner valued network customer selected receivea prize reward claim call claim code kl valid hours,1
 mobile months u r entitled update latest colour mobiles camera free call mobile update co free,1
 gonna home soon want talk stuff anymore tonight k cried enough today,0
 six chances win cash pounds txt csh send cost p day days tsandcs apply reply hl info,1
 urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw,1
 searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,0
 date sunday,0
 xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl,1
 oh k watching,0
 eh u remember spell name yes v naughty make v wet,0
 fine way u feel way gota b,0
 england v macedonia dont miss goals team news txt ur national team eg england try wales scotland txt poboxox w wq,1
 seriously spell name,0
 going try months ha ha joking,0
 pay first lar da stock comin,0
 aft finish lunch go str lor ard smth lor u finish ur lunch already,0
 ffffffffff alright way meet sooner,0
 forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol,0
 lol always convincing,0
 catch bus frying egg make tea eating mom left dinner feel love,0
 back amp packing car let know room,0
 ahhh work vaguely remember feel like lol,0
 wait still clear sure sarcastic x want live us,0
 yeah got v apologetic n fallen actin like spoilt child got caught till go badly cheers,0
 k tell anything,0
 fear fainting housework quick cuppa,0
 thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged,1
 yup ok go home look timings msg xuhui going learn nd may lesson,0
 oops let know roommate done,0
 see letter b car,0
 anything lor u decide,0
 hello saturday go texting see decided anything tomo trying invite anything,0
 pls go ahead watts wanted sure great weekend abiola,0
 forget tell want need crave love sweet arabian steed mmmmmm yummy,0
 rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow,1
 seeing,0
 great hope like man well endowed lt gt inches,0
 calls messages missed calls,0
 get hep b immunisation nigeria,0
 fair enough anything going,0
 yeah hopefully tyler could maybe ask around bit,0
 u know stubborn even want go hospital kept telling mark weak sucker hospitals weak suckers,0
 thinked first time saw class,0
 gram usually runs like lt gt half eighth smarter though gets almost whole second gram lt gt,0
 k fyi x ride early tomorrow morning crashing place tonight,0
 wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing,0
 sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv,1
 know mallika sherawat yesterday find lt url gt,0
 congrats year special cinema pass call c suprman v matrix starwars etc free bx ip pm dont miss,1
 sorry call later meeting,0
 tell reached,0
 yes gauti sehwag odi series,0
 gonna pick burger way home even move pain killing,0
 ha ha ha good joke girls situation seekers,0
 part checking iq,0
 sorry roommates took forever ok come,0
 ok lar double check wif da hair dresser already said wun cut v short said cut look nice,0
 valued customer pleased advise following recent review mob awarded bonus prize call,1
 today song dedicated day song u dedicate send ur valuable frnds first rply,0
 urgent ur awarded complimentary trip eurodisinc trav aco entry claim txt dis morefrmmob shracomorsglsuplt ls aj,1
 hear new divorce barbie comes ken stuff,1
 plane give month end,0
 wah lucky man save money hee,0
 finished class,0
 hi babe im home wanna something xx,0
 k k performed,0
 u call,0
 waiting machan call free,0
 thats cool gentleman treat dignity respect,0
 like peoples much shy pa,0
 operate lt gt,0
 still looking job much ta earn,0
 sorry call later,0
 k call ah,0
 ok way home hi hi,0
 place man,0
 yup next stop,0
 call later network urgnt sms,0
 real u getting yo need tickets one jacket done already used multis,0
 yes started send requests make pain came back back bed double coins factory gotta cash nitros,0
 really still tonight babe,0
 ela kano il download come wen ur free,0
 yeah stand close tho catch something,0
 sorry pain ok meet another night spent late afternoon casualty means done stuff moro includes time sheets sorry,0
 smile pleasure smile pain smile trouble pours like rain smile sum hurts u smile becoz someone still loves see u smiling,0
 please call customer service representative pm guaranteed cash prize,1
 havent planning buy later check already lido got show e afternoon u finish work already,0
 free ringtone waiting collected simply text password mix verify get usher britney fml po box mk h ppw,1
 watching telugu movie wat abt u,0
 see finish loads loans pay,0
 hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u,0
 see cup coffee animation,0
 please text anymore nothing else say,0
 okay name ur price long legal wen pick u ave x ams xx,0
 still looking car buy gone driving test yet,0
 per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,0
 wow right mean guess gave boston men changed search location nyc something changed cuz signin page still says boston,0
 umma life vava umma love lot dear,0
 thanks lot wishes birthday thanks making birthday truly memorable,0
 aight hit get cash,0
 would ip address test considering computer minecraft server,0
 know grumpy old people mom like better lying always one play jokes,0
 dont worry guess busy,0
 plural noun research,0
 going dinner msg,0
 ok wif cos like try new things scared u dun like mah cos u said loud,0
 gent trying contact last weekends draw shows prize guaranteed call claim code k valid hrs ppm,1
 wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened,0
 entered cabin pa said happy b day boss felt special askd lunch lunch invited apartment went,0
 winner u specially selected receive holiday flights inc speak live operator claim p min,1
 goodo yes must speak friday egg potato ratio tortilla needed,0
 hmm uncle informed paying school directly pls buy food,0
 private account statement shows unredeemed bonus points claim call identifier code expires,1
 urgent mobile awarded bonus caller prize final try contact u call landline box wr c ppm,1
 new address apples pairs malarky,0
 todays voda numbers ending selected receive award match please call quoting claim code standard rates app,1
 going sao mu today done,0
 predict wat time finish buying,0
 good stuff,0
 know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise,0
 room,0
 hey girl r u hope u r well del r bak long time c give call sum time lucyxx,0
 k k much cost,0
 home,0
 dear call tmorrow pls accomodate,0
 first answer question,0
 sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sp tyrone,1
 want get laid tonight want real dogging locations sent direct ur mob join uk largest dogging network bt txting gravel nt ec p msg p,1
 haf msn yijue hotmail com,0
 call meet,0
 check rooms befor activities,0
 rcv msgs chat svc free hardcore services text go u get nothing u must age verify yr network try,1
 got c lazy type forgot lect saw pouch like v nice,0
 k text way,0
 sir waiting mail,0
 swt thought nver get tired little things lovable persons coz somtimes little things occupy biggest part hearts gud ni,0
 know pls open back,0
 yes see ya dot,0
 whats staff name taking class us,0
 freemsg replied text randy sexy female live local luv hear u netcollex ltd p per msg reply stop end,1
 ummma call check life begin qatar pls pray hard,0
 k deleted contact,0
 sindu got job birla soft,0
 wine flowing nevering,0
 yup thk cine better cos need go plaza mah,0
 ok ur typical reply,0
 per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,0
 everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows see guess like things must exist like rain hail mist time done become one,0
 aaooooright work,0
 leaving house,0
 hello love get interview today happy good boy think missing,0
 customer service annoncement new years delivery waiting please call arrange delivery,1
 winner u specially selected receive cash holiday flights inc speak live operator claim,1
 keep safe need miss already envy everyone see real life,0
 new car house parents new job hand,0
 love excited day spend make happy,0
 pls stop bootydelious f inviting friend reply yes see www sms ac u bootydelious stop send stop frnd,1
 bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internet service menu,1
 place ur points e cultures module already,0
 urgent trying contact last weekends draw shows prize guaranteed call claim code valid hrs,1
 hi frnd best way avoid missunderstding wit beloved one,0
 great escape fancy bridge needs lager see tomo,0
 yes completely form clark also utter waste,0
 sir need axis bank account bank address,0
 hmmm thk sure got time hop ard ya go free abt muz call u discuss liao,0
 time coming later,0
 bloody hell cant believe forgot surname mr ill give u clue spanish begins,0
 well gonna finish bath good fine night,0
 let know got money carlos make call,0
 u still going mall,0
 turns friends staying whole show back til lt gt feel free go ahead smoke lt gt worth,0
 text doesnt reply let know log,0
 hi spoke maneesha v like know satisfied experience reply toll free yes,0
 lifted hopes offer money need especially end month approaches hurts studying anyways gr weekend,0
 lol u trust,0
 ok gentleman treat dignity respect,0
 guys close,0
 going nothing great bye,0
 hello handsome finding job lazy working towards getting back net mummy boytoy miss,0
 haha awesome minute,0
 please call customer service representative freephone pm guaranteed cash prize,1
 got xmas radio times get,0
 jus reached home go bathe first sis using net tell u finishes k,0
 unique enough find th august www areyouunique co uk,1
 sorry joined league people dont keep touch mean great deal friend times even great personal cost great week,0
 hi finally completed course,0
 stop however suggest stays someone able give ors every stool,0
 hope settled new school year wishin gr day,0
 gud mrng dear hav nice day,0
 u got persons story,0
 hamster dead hey tmr meet pm orchard mrt,0
 hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx,0
 found enc lt gt,0
 sent lt gt bucks,0
 hello darlin ive finished college txt u finish u love kate xxx,0
 account refilled successfully inr lt decimal gt keralacircle prepaid account balance rs lt decimal gt transaction id kr lt gt,0
 goodmorning sleeping ga,0
 u call alter ok,0
 say like dat dun buy ericsson oso cannot oredi lar,0
 entered cabin pa said happy b day boss felt special askd lunch lunch invited apartment went,0
 aight yo dats straight dogg,0
 please give us connection today lt decimal gt refund bill,0
 shoot big loads get ready,0
 bruv hope great break rewarding semester,0
 home always chat,0
 k k good study well,0
 yup noe leh,0
 sounds great home,0
 finally match heading towards draw prediction,0
 tired slept well past nights,0
 easy ah sen got selected means good,0
 take exam march,0
 yeah think use gt atm register sure anyway help let know sure ready,0
 ok prob take ur time,0
 os called ubandu run without installing hard disk use os copy important files system give repair shop,0
 sorry call later,0
