,sys/name,sys/running_time,performance metrics svm/accuracy,performance metrics svm/precision,performance metrics svm/recall,performance metrics svm/roc,performance metrics xgb/accuracy,performance metrics xgb/precision,performance metrics xgb/recall,performance metrics xgb/roc,performance metrics/accuracy,performance metrics/precision,performance metrics/recall,performance metrics/roc,monitoring/cpu,monitoring/gpu,monitoring/gpu_memory,monitoring/memory
7,baseline_dank_full,0.631,0.5533333333333333,0.5681544028950543,0.5541176470588235,0.5533088235294118,0.5509090909090909,0.5367003367003367,0.9376470588235294,0.5388235294117647,,,,,,,0.0001220703125,0.4616508483886719
6,baseline_dank_half,0.702,0.5624242424242424,0.5833333333333334,0.5409836065573771,0.5632053711178845,0.5503030303030303,0.5386740331491713,0.9133489461358314,0.5370764831181669,,,,,,,0.0001220703125,0.4620094299316406
5,baseline_imdb,10.703,0.8964848484848484,0.8901398435648258,0.905812831644959,0.8964371175768655,0.7253333333333334,0.6756680994206691,0.8720453449107574,0.7245826139758464,,,,,63.782144480217525,,0.12890625,0.4620170593261719
11,baseline_medium_full,0.655,0.8563636363636363,0.8593200468933178,0.8623529411764705,0.8561764705882353,0.7266666666666667,0.6950146627565983,0.8364705882352941,0.723235294117647,,,,,,,0.0001220703125,0.4617042541503906
10,baseline_medium_half,0.613,0.8472727272727273,0.8411214953271028,0.861244019138756,0.8470839260312943,0.7333333333333333,0.6889312977099237,0.8636363636363636,0.7315724815724817,,,,,,,0.0001220703125,0.46150970458984375
8,baseline_short_full,0.715,0.9825802939575394,0.9821428571428571,0.8870967741935484,0.9422897338557421,0.954817637452368,0.8634361233480177,0.7903225806451613,0.885406727704582,,,,,,,0.0001220703125,0.4616584777832031
9,baseline_short_half,0.55,0.9782372143634385,0.9914529914529915,0.8592592592592593,0.9289918745275887,0.9390642002176278,0.8558558558558559,0.7037037037037037,0.8416477702191988,,,,,,,0.0001220703125,0.46169281005859375
22,conv_dank_full_size,10.503,,,,,,,,,0.552,0.5385756676557863,0.726,0.552,52.785278429815996,63.0,0.5062255859375,0.4840049743652344
19,conv_dank_half,0.589,,,,,,,,,0.544,0.5367647058823529,0.5887096774193549,0.5443548387096775,,,0.0001220703125,0.451446533203125
18,conv_full_imdb,183.049,,,,,,,,,0.8611,0.8258928571428571,0.917840841436793,0.8606539421858426,59.42995635025331,68.0,5.095703125,0.45418548583984375
24,conv_medium_full_size,40.696,,,,,,,,,0.823,0.8458244111349036,0.79,0.8230000000000001,51.607978595645854,76.0,0.7562255859375,0.4834785461425781
21,conv_medium_half,10.706,,,,,,,,,0.79,0.782608695652174,0.8275862068965517,0.7882700908959746,55.96443769037338,65.0,1.064453125,0.451416015625
23,conv_short_full_size,10.517,,,,,,,,,0.9811320754716981,0.9568345323741008,0.8986486486486487,0.946215516034169,52.85322516617214,31.0,4.3812255859375,0.4837379455566406
0,conv_short_half_2,10.618,,,,,,,,,0.9820466786355476,0.95,0.890625,0.9422699036511157,50.831442801333225,26.0,4.939453125,0.4721794128417969
3,lstm_dank_2,91.66,,,,,,,,,0.571,0.5697445972495089,0.58,0.5710000000000001,56.51553349776107,68.0,1.064453125,0.4703178405761719
15,lstm_dank_full,51.367,,,,,,,,,0.527,0.5333333333333333,0.432,0.5269999999999999,56.39144167198992,65.0,1.064453125,0.4574699401855469
2,lstm_dank_half_2,20.737,,,,,,,,,0.582,0.581081081081081,0.669260700389105,0.5794863172727418,57.36553341648135,67.0,0.939453125,0.47075653076171875
12,lstm_full_imdb,2302.808,,,,,,,,,0.8772,0.8754679802955665,0.8817225640007939,0.8771644466849364,52.72690878068822,74.0,3.095703125,0.4608802795410156
17,lstm_medium_full,223.626,,,,,,,,,0.856,0.8836206896551724,0.82,0.856,53.04530198318111,74.0,1.314453125,0.4572257995605469
4,lstm_medium_half,91.756,,,,,,,,,0.752,0.8617021276595744,0.6230769230769231,0.7573717948717948,53.33228045406877,75.0,1.314453125,0.4624595642089844
16,lstm_short_full,30.929,,,,,,,,,0.977538185085355,0.9361702127659575,0.8918918918918919,0.9412827335107128,65.27831000298681,52.0,0.876953125,0.45697021484375
13,lstm_short_half,31.06,,,,,,,,,0.895870736086176,0.6,0.36363636363636365,0.6655249027957786,65.0727224495666,52.0,0.876953125,0.4583549499511719
